Code;Description;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
0205010700010001;NUMBER OF LIVESTOCK BY TYPE. TOTAL HEADS;7029;7218;7740;7518;7090;7295;7240;5891;4790;4795;5478;5133;4658;4661;4980;5524;5550;5293;5325;4852;5152;5232;5378;5367;5425;5400;5929;5483;5211;5564;5786;4789;4959;4822
0205010700010002;NUMBER OF LIVESTOCK BY TYPE BULLS;19;27;64;27;70;55;55;54;68;55;47;86;73;70;49;95;74;58;60;71;69;77;69;62;72;63;63;65;66;65;58;66;62;63
0205010700010003;NUMBER OF LIVESTOCK BY TYPE COWS;1062;1101;1172;1107;1009;1108;1146;1154;1122;1183;1152;1210;1108;1154;1145;1333;1383;1339;1374;1407;1454;1483;1496;1497;1480;1449;1421;1471;1519;1482;1444;1448;1440;1439
0205010700010004;NUMBER OF LIVESTOCK BY TYPE TOTAL CATTLE AND CALVES;1081;1128;1236;1134;1079;1163;1201;1208;1190;1238;1199;1296;1181;1224;1194;1428;1457;1397;1434;1478;1523;1560;1565;1559;1552;1512;1484;1536;1585;1547;1502;1514;1502;1502
0205010700010005;NUMBER OF LIVESTOCK BY TYPE WORK ANIMALS;66;59;60;44;37;43;33;34;31;27;29;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0205010700010006;NUMBER OF LIVESTOCK BY TYPE STALLIONS (MALE HORSES);41;46;46;43;66;95;113;122;158;139;154;189;187;195;136;158;169;175;174;168;191;204;196;198;165;170;149;129;141;123;112;109;105;105
0205010700010007;NUMBER OF LIVESTOCK BY TYPE MARES (FEMALE HORSES);289;286;282;326;390;496;583;660;620;727;813;911;850;778;605;672;679;689;685;679;726;700;700;711;688;687;658;515;516;462;444;427;413;426
0205010700010008;NUMBER OF LIVESTOCK BY TYPE TOTAL HORSES;396;391;388;413;493;634;729;816;809;893;996;1109;1037;982;741;830;848;864;859;847;917;904;896;909;853;857;807;644;657;585;556;536;518;531
0205010700010009;NUMBER OF LIVESTOCK BY TYPE HOGS;111;114;123;118;103;120;145;89;63;81;63;51;56;52;84;83;79;80;78;56;65;80;73;75;83;98;103;83;75;96;99;71;68;74
0205010700010010;NUMBER OF LIVESTOCK BY TYPE SHEEPS;5168;5255;5446;5151;4866;4992;4526;3169;2124;2021;2452;1960;1530;2001;2599;2724;2672;2445;2446;2002;2102;2126;2291;2446;2573;2559;3191;2932;2652;3100;3228;2364;2521;2343
0205010700010011;NUMBER OF LIVESTOCK BY TYPE TOTAL SHEEPS;5279;5369;5569;5269;4969;5112;4671;3258;2187;2102;2515;2011;1586;2053;2683;2807;2751;2525;2524;2058;2167;2206;2364;2521;2656;2657;3294;3015;2727;3196;3327;2435;2589;2417
0205010700010012;NUMBER OF LIVESTOCK BY TYPE BUCKS;10;12;23;16;19;19;37;29;26;26;31;28;34;36;14;27;26;27;25;35;43;37;32;29;20;27;21;21;19;18;34;23;31;29
0205010700010013;NUMBER OF LIVESTOCK BY TYPE GOATS;263;318;524;686;530;367;602;580;578;536;737;689;820;366;348;432;468;480;483;434;502;525;521;349;344;347;323;267;223;218;367;281;319;343
0205010700010014;NUMBER OF LIVESTOCK BY TYPE TOTAL GOATS;273;330;547;702;549;386;639;609;604;562;768;717;854;402;362;459;494;507;508;469;545;562;553;378;364;374;344;288;242;236;401;304;350;372
