"Number of pigs, cohesion regions, Slovenia, annually"

"COHESION REGION";"CATEGORY OF PIGS";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"SLOVENIA";"0 Category of pigs - TOTAL";529041;601850;591514;570774;592034;552274;578193;592378;558459;603594;599895;655665;620506;533998;547432;575116;542590;432011;415230;395593;347310;296097;288350;281319;271385;265744;257241;259125;240138;229483;215713;202148
"SLOVENIA";"1 Piglets under 20 kg - total";136469;165892;161246;161551;178385;158955;170338;174820;161835;178324;181197;179046;182151;158023;159377;161598;153985;121686;108620;99043;81593;65975;67488;63590;59498;57534;58657;58006;51334;50446;41854;46943
"SLOVENIA";"1.1 Piglets under 20 kg - suckling";68710;83524;81185;81338;89814;80031;85762;88019;81481;90363;91230;92506;-;-;70881;73360;66845;60973;58854;51607;39130;28610;36046;34608;33340;30474;30277;30280;26859;26687;21461;21109
"SLOVENIA";"1.2 Piglets under 20 kg - other";67759;82368;80061;80213;88571;78924;84576;86801;80354;87962;89968;86540;-;-;88497;88238;87140;60713;49766;47436;42463;37365;31442;28982;26158;27060;28380;27726;24475;23759;20393;25834
"SLOVENIA";"2 piglets 20 - 50 kg";110973;123851;122135;115001;116350;107860;115584;118625;109814;122251;122953;143132;124069;106897;114694;118546;107376;81322;81377;82250;69713;58927;63254;55835;52006;50757;46854;52984;49417;43956;40211;31155
"SLOVENIA";"3 Fattening pigs - total";220452;246036;242626;228455;231134;227336;227801;236616;226788;235518;229577;267759;249972;214846;218880;241327;232753;185879;185823;179305;166160;146806;133828;140226;138727;137328;130419;128788;122089;118733;118956;110203
"SLOVENIA";"3.1 Fattening pigs, 50 - 80 kg";101370;113134;111566;105050;106282;99596;108294;110554;108971;106519;102217;90939;86528;74328;74855;86435;81892;61497;57234;58818;47350;50326;41221;42454;39247;35723;33733;36251;30814;30767;29903;31822
"SLOVENIA";"3.2 Fattening pigs, 80 - 110 kg";65661;73281;72266;68045;68843;70792;62269;68424;64028;74404;72396;83516;75330;67322;73786;76541;76462;56998;54174;52080;48624;36732;35682;35687;36572;39751;37863;37147;37992;32976;34478;31368
"SLOVENIA";"3.3 Fattening pigs, 110 kg or more";53421;59620;58794;55360;56009;56948;57238;57638;53789;54595;54964;93304;88114;73196;70239;78351;74399;67384;74415;68407;70186;59748;56925;62085;62908;61854;58823;55390;53283;54990;54575;47013
"SLOVENIA";"4 Breeding pigs (50 kg and over) - total";61148;66071;65507;65767;66165;58122;64470;62315;60021;67503;66167;65726;64314;54232;54481;53645;48476;43124;39410;34995;29844;24389;23780;21668;21154;20125;21311;19347;17298;16348;14692;13847
"SLOVENIA";"4.1 Breeding pigs (50 kg and over), boars";1170;1534;1476;1532;1453;1698;2024;1841;1744;1944;1813;1560;2220;1769;1585;1404;1476;1261;1373;1385;1131;954;863;868;855;891;842;694;748;699;515;488
"SLOVENIA";"4.2 Breeding pigs (50 kg and over), gilts not yet mated";8088;9026;8901;8381;8480;8525;9617;8262;7094;8574;8709;6599;6295;5131;5623;4265;4930;5537;4436;3982;3204;3175;2769;2243;2153;2079;2294;2164;1955;1924;1666;1317
"SLOVENIA";"4.3 Breeding pigs (50 kg and over), gilts mated";9181;11083;10637;11554;9204;8393;9946;8715;8290;8915;8759;7586;6428;6191;6097;5475;5016;4826;4460;3576;3206;2694;2808;2147;2260;2009;2347;2108;1687;2018;1540;1357
"SLOVENIA";"4.4 Breeding pigs (50 kg and over), saws not mated";13586;14130;13508;13237;13825;14050;14061;14137;13605;15359;15037;16960;17876;14106;14673;15356;14067;12160;11787;10223;8739;7278;7084;6872;6430;6084;6010;5886;5258;4361;4453;4026
"SLOVENIA";"4.5 Breeding pigs (50 kg and over), saws mated";29123;30298;30985;31063;33203;25456;28822;29360;29288;32711;31850;33021;31495;27035;26503;27145;22987;19340;17354;15829;13564;10288;10256;9538;9456;9062;9818;8495;7650;7346;6518;6659
