19.1.1.30. Hatchery [thousand heads];;;;;;;;;;;;;;;;;;
Year;Eggs for hatching placed in incubation grandparent and parent cocks, hens and chickens laying;Eggs for hatching placed in incubation grandparent and parent cocks, hens and chickens meat;Eggs for hatching placed in incubation utility cocks, hens and chickens laying;Eggs for hatching placed in incubation utility cocks, hens and chickens meat;Eggs for hatching placed in incubation utility cocks, hens and chickens mixed;Eggs for hatching placed in incubation utility ducks mixed;Eggs for hatching placed in incubation utility geese mixed;Eggs for hatching placed in incubation utility turkeys mixed;Eggs for hatching placed in incubation utility guinea fowls mixed;How chicks are used grandparent and parent cocks, hens and chickens females laying;How chicks are used grandparent and parent cocks, hens and chickens females meat;How chicks are used utility females for laying cocks, hens and chickens females meat;How chicks are used males and females for fattening, mixed cocks, hens and chickens females meat;How chicks are used for fattening cocks, hens and chickens females meat;How chicks are used for fattening ducks females meat;How chicks are used for fattening geese females meat;How chicks are used for fattening turkeys females meat;How chicks are used for fattening guinea fowls females meat
2002;4 141,1;22 580,0;24 381,3;177 024,8;10 195,7;29 832,9;13 532,2;14 931,8;0,0;690,2;3 880,2;8 237,3;8 671,5;146 380,5;19 473,7;8 635,6;12 008,6;0,0
2003;3 669,1;25 056,8;20 943,2;198 954,4;10 213,5;23 565,7;15 366,7;16 772,7;0,0;776,0;4 274,6;7 475,1;7 913,6;156 678,0;16 107,3;10 621,5;13 030,9;0,0
2004;2 677,6;14 982,0;18 343,5;179 796,3;8 502,5;28 287,5;10 826,7;16 360,5;0,0;445,4;3 435,5;6 723,8;6 792,5;142 026,9;15 750,1;6 869,4;12 612,9;0,0
2005;2 410,1;18 104,0;17 553,5;179 331,4;10 448,4;23 780,0;10 085,8;16 417,8;5,2;321,1;4 539,1;6 086,1;8 276,7;142 919,8;16 079,2;6 071,3;12 357,6;3,0
2006;2 229,7;27 621,1;16 035,7;178 494,4;8 467,5;30 137,8;7 046,0;14 021,0;0,0;539,3;5 988,6;5 970,4;7 033,9;144 074,9;18 480,1;5 024,2;11 884,9;0,0
2007;1 605,0;12 626,5;17 994,3;189 555,2;9 832,7;26 610,4;8 459,2;15 172,7;0,0;397,4;6 702,2;6 078,3;7 774,0;143 409,3;17 352,2;4 834,1;11 720,7;0,0
2008;2 605,9;24 932,3;18 598,8;188 838,0;8 123,5;24 989,7;8 874,4;13 045,0;4,0;587,9;11 089,7;6 556,6;6 278,7;143 995,8;15 580,8;5 606,8;9 645,3;2,2
2009;1 617,2;21 981,9;17 489,5;197 965,2;9 060,7;30 305,9;7 368,2;10 651,7;17,6;475,1;9 836,1;6 224,3;7 388,1;150 164,9;20 200,4;4 820,3;8 327,5;12,9
2010;2 501,6;16 677,1;17 797,4;220 558,3;10 318,8;37 319,9;8 160,9;9 809,6;9,7;640,8;9 436,4;6 441,6;8 104,4;167 467,1;24 251,6;4 741,7;7 407,7;6,8
2011;1 584,0;37 670,5;21 419,8;188 779,0;7 195,4;34 618,2;8 800,7;7 732,1;1,5;413,7;20 144,2;7 435,7;5 458,0;149 400,4;24 111,5;5 651,6;5 877,7;0,9
2012;1 845,3;37 572,3;26 988,5;205 480,0;8 663,3;35 712,2;10 163,4;6 769,7;5,6;425,2;22 509,2;7 273,6;7 158,4;161 796,5;25 220,2;6 184,6;5 279,6;4,3
2013;1 674,6;34 519,0;29 531,8;223 176,1;6 929,4;44 751,4;10 833,5;6 853,7;9,0;403,2;9 381,9;7 229,4;6 110,4;188 374,2;30 952,7;6 862,8;5 057,1;5,9
2014;642,5;35 293,3;24 309,3;236 323,6;8 218,9;49 093,8;10 580,3;7 302,8;41,3;144,6;9 200,9;8 882,7;6 358,3;196 855,1;34 535,6;6 482,2;5 592,6;23,4
2015;1 818,1;29 952,8;20 678,3;215 819,8;8 359,3;42 345,3;9 343,8;6 470,1;42,7;506,1;8 448,5;7 606,8;6 412,1;177 371,0;32 029,0;5 524,9;5 178,5;39,3
2016;2 834,0;34 537,2;26 810,0;266 194,4;7 050,1;51 816,2;10 202,0;7 184,6;31,5;494,8;9 789,4;10 337,6;6 176,3;220 013,3;37 020,0;6 211,8;5 578,2;21,4
2017;2 181,2;7 607,8;30 767,4;303 781,7;8 706,2;42 636,6;7 954,7;7 527,8;15,4;613,9;1 756,7;10 309,7;6 823,8;223 941,7;28 062,9;4 583,4;5 865,2;11,7
2018;2 619,3;42 628,4;25 655,2;282 102,5;8 363,3;60 334,3;10 811,0;7 937,2;0,0;593,9;13 347,3;8 907,8;6 540,6;242 902,1;43 153,0;6 671,3;6 201,8;0,0
2019;2 703,3;47 141,4;22 049,5;296 846,7;9 916,3;56 409,7;10 548,4;8 365,9;0,0;603,2;14 331,8;8 125,5;7 608,6;261 118,5;40 382,0;6 488,8;6 601,8;0,0
2020;2 116,2;46 030,7;21 566,0;300 471,0;10 718,0;48 160,3;6 599,8;8 102,3;8,0;532,8;13 633,1;8 534,9;7 763,3;261 419,6;29 911,5;3 895,3;6 471,3;7,0
2021;2 264,3;66 515,0;24 068,5;284 488,9;10 107,1;56 728,4;7 189,5;9 000,8;15,4;722,5;14 840,0;8 809,5;7 624,2;261 827,6;38 598,9;4 130,4;6 813,4;9,2
2022;2 601,9;46 082,6;19 395,3;310 250,5;7 210,9;48 143,1;5 707,3;8 761,4;0,0;624,2;14 548,2;7 702,2;5 314,0;266 715,3;30 851,3;3 075,2;6 763,8;0,5
